,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-07 11:00:00,Clear,clear-day,0.2583,0.04,rain,26.01,27.02,21.68,0.77,1008.9,1.12,1.3,176,0.1,10,16.093,262.0
1,2020-09-07 12:00:00,Humid,clear-day,0.2731,0.04,rain,27.57,30.33,22.46,0.74,1008.5,1.37,1.64,211,0.14,11,16.093,261.6
2,2020-09-07 13:00:00,Humid,clear-day,0.2683,0.04,rain,28.29,31.82,23.18,0.74,1007.7,1.5,1.8,218,0.18,10,16.093,262.2
3,2020-09-07 14:00:00,Humid,clear-day,0.2768,0.05,rain,28.14,32.07,23.87,0.78,1006.8,1.57,1.89,212,0.21,8,16.093,263.2
4,2020-09-07 15:00:00,Humid,clear-day,0.2967,0.06,rain,27.28,30.96,24.59,0.85,1006.2,1.54,1.89,209,0.23,6,16.093,263.7
5,2020-09-07 16:00:00,Humid,clear-day,0.3068,0.06,rain,26.32,29.15,25.52,0.95,1005.9,1.4,1.8,213,0.25,3,16.093,263.5
6,2020-09-07 17:00:00,Humid,clear-day,0.3019,0.07,rain,25.64,27.52,25.64,1.0,1005.9,1.2,1.65,216,0.26,1,16.093,263.0
7,2020-09-07 18:00:00,Humid,clear-day,0.2646,0.07,rain,24.83,26.29,24.83,1.0,1006.3,0.99,1.45,206,0.26,0,16.093,262.6
8,2020-09-07 19:00:00,Humid,clear-night,0.1928,0.07,rain,23.63,25.25,23.63,1.0,1007.2,0.75,1.19,183,0.24,0,16.093,262.3
9,2020-09-07 20:00:00,Humid,clear-night,0.1478,0.07,rain,22.3,23.94,22.3,1.0,1008.3,0.52,0.94,153,0.2,0,16.093,262.0
10,2020-09-07 21:00:00,Clear,clear-night,0.1474,0.07,rain,21.35,22.93,21.35,1.0,1009.1,0.42,0.87,121,0.19,0,16.093,261.9
11,2020-09-07 22:00:00,Clear,clear-night,0.1639,0.08,rain,21.02,22.41,21.02,1.0,1009.4,0.49,1.05,81,0.2,0,16.093,262.0
12,2020-09-07 23:00:00,Clear,clear-night,0.1714,0.08,rain,20.86,22.05,20.86,1.0,1009.5,0.64,1.34,47,0.22,0,16.093,262.3
13,2020-09-08 00:00:00,Clear,clear-night,0.1421,0.07,rain,20.58,21.6,20.58,1.0,1009.6,0.76,1.5,25,0.25,0,16.093,262.5
14,2020-09-08 01:00:00,Clear,clear-night,0.0741,0.06,rain,20.11,21.0,20.11,1.0,1009.7,0.83,1.51,20,0.3,0,16.093,262.9
15,2020-09-08 02:00:00,Partly Cloudy,partly-cloudy-night,0.0211,0.05,rain,19.7,20.51,19.7,1.0,1009.3,0.9,1.48,22,0.35,0,16.093,263.4
16,2020-09-08 03:00:00,Partly Cloudy,partly-cloudy-night,0.0045,0.02,rain,19.57,20.3,19.57,1.0,1008.5,0.96,1.5,23,0.36,0,16.093,263.7
17,2020-09-08 04:00:00,Clear,clear-night,0.0,0.0,,19.27,19.92,19.27,1.0,1008.3,1.03,1.62,19,0.31,0,16.093,263.8
18,2020-09-08 05:00:00,Clear,clear-night,0.0,0.0,,18.92,19.5,18.92,1.0,1007.8,1.08,1.73,20,0.25,0,16.093,263.8
19,2020-09-08 06:00:00,Clear,clear-night,0.0,0.0,,18.76,19.33,18.76,1.0,1008.3,1.01,1.65,37,0.2,0,16.093,264.3
20,2020-09-08 07:00:00,Clear,clear-day,0.0,0.0,,19.44,20.03,19.31,0.99,1009.3,0.77,1.24,78,0.18,0,16.093,265.4
21,2020-09-08 08:00:00,Clear,clear-day,0.0,0.0,,21.02,21.69,20.35,0.96,1010.0,0.49,0.77,168,0.17,2,16.093,266.6
22,2020-09-08 09:00:00,Clear,clear-day,0.0051,0.01,rain,22.63,23.36,21.31,0.92,1010.5,0.46,0.6,214,0.17,4,16.093,267.1
23,2020-09-08 10:00:00,Clear,clear-day,0.0,0.0,,24.19,24.91,22.08,0.88,1010.4,0.77,0.87,218,0.18,7,16.093,266.8
24,2020-09-08 11:00:00,Humid,clear-day,0.0065,0.02,rain,25.91,27.11,22.83,0.83,1010.2,1.18,1.31,200,0.21,9,16.093,266.0
25,2020-09-08 12:00:00,Humid,clear-day,0.0165,0.02,rain,27.38,30.56,23.47,0.79,1010.1,1.46,1.65,211,0.29,10,16.093,265.7
26,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0399,0.03,rain,28.13,32.18,24.04,0.79,1009.2,1.55,1.89,215,0.46,8,16.093,265.7
27,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.079,0.03,rain,28.03,32.4,24.54,0.81,1008.4,1.57,2.07,214,0.65,6,16.093,266.0
28,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1378,0.04,rain,27.19,31.1,25.05,0.88,1007.7,1.49,2.08,212,0.75,4,16.093,266.2
29,2020-09-08 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2326,0.06,rain,26.22,28.96,25.75,0.97,1007.2,1.33,1.88,214,0.75,3,16.093,266.5
30,2020-09-08 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.34,0.07,rain,25.53,27.19,25.53,1.0,1007.2,1.11,1.58,213,0.68,1,16.093,266.6
31,2020-09-08 18:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3604,0.07,rain,24.76,26.22,24.76,1.0,1007.5,0.9,1.32,201,0.58,0,16.093,266.7
32,2020-09-08 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.2413,0.07,rain,23.58,25.15,23.58,1.0,1008.3,0.7,1.1,179,0.4,0,16.093,266.4
33,2020-09-08 20:00:00,Humid,clear-night,0.1148,0.06,rain,22.25,23.85,22.25,1.0,1009.5,0.52,0.92,153,0.21,0,16.093,265.9
34,2020-09-08 21:00:00,Clear,clear-night,0.0861,0.05,rain,21.34,22.87,21.34,1.0,1010.5,0.44,0.89,118,0.09,0,16.093,265.5
35,2020-09-08 22:00:00,Clear,clear-night,0.1868,0.06,rain,21.05,22.43,21.05,1.0,1010.5,0.5,1.06,70,0.08,0,16.093,265.1
36,2020-09-08 23:00:00,Clear,clear-night,0.4068,0.07,rain,20.94,22.17,20.94,1.0,1010.7,0.62,1.31,33,0.12,0,16.093,264.8
37,2020-09-09 00:00:00,Clear,clear-night,0.5685,0.08,rain,20.73,21.8,20.73,1.0,1010.7,0.73,1.51,13,0.14,0,16.093,264.6
