,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-23 09:00:00,Partly Cloudy,partly-cloudy-day,0.1149,0.05,rain,19.94,20.82,19.94,1,1007.6,0.79,0.89,35,0.55,4,16.093,256.8
1,2020-09-23 10:00:00,Partly Cloudy,partly-cloudy-day,0.186,0.06,rain,20.41,21.42,20.41,1,1007.7,0.98,1.16,64,0.56,6,16.093,256.4
2,2020-09-23 11:00:00,Mostly Cloudy,partly-cloudy-day,0.3887,0.07,rain,20.83,22.11,20.83,1,1007.6,1.22,1.61,108,0.61,7,16.093,255.9
3,2020-09-23 12:00:00,Mostly Cloudy,partly-cloudy-day,0.555,0.1,rain,21.03,22.65,21.03,1,1007.3,1.38,1.9,112,0.68,7,16.093,255.3
4,2020-09-23 13:00:00,Mostly Cloudy,partly-cloudy-day,0.5382,0.12,rain,20.68,22.64,20.68,1,1006.7,1.45,1.92,98,0.8,6,16.093,254.4
5,2020-09-23 14:00:00,Overcast,cloudy,0.5371,0.15,rain,19.99,22.25,19.99,1,1006.0,1.46,1.82,76,0.93,5,14.446,253.7
6,2020-09-23 15:00:00,Overcast,cloudy,0.6018,0.2,rain,19.17,21.59,19.17,1,1005.6,1.4,1.67,61,1.0,4,13.066,253.3
7,2020-09-23 16:00:00,Overcast,cloudy,0.6424,0.22,rain,18.57,21.01,18.57,1,1005.5,1.24,1.45,54,1.0,2,12.154,253.6
8,2020-09-23 17:00:00,Overcast,cloudy,0.6482,0.22,rain,18.19,20.6,18.19,1,1005.6,1.05,1.21,58,0.99,1,11.797,254.3
9,2020-09-23 18:00:00,Overcast,cloudy,0.6135,0.21,rain,17.79,20.08,17.79,1,1005.9,0.92,1.05,77,0.95,0,12.541,255.0
10,2020-09-23 19:00:00,Mostly Cloudy,partly-cloudy-night,0.5253,0.17,rain,17.8,19.89,17.8,1,1006.7,0.89,1.02,81,0.85,0,14.74,255.9
11,2020-09-23 20:00:00,Mostly Cloudy,partly-cloudy-night,0.4306,0.14,rain,17.67,19.5,17.67,1,1007.6,0.89,1.03,64,0.74,0,16.093,256.7
12,2020-09-23 21:00:00,Mostly Cloudy,partly-cloudy-night,0.367,0.13,rain,17.4,18.98,17.4,1,1008.2,0.88,1.04,49,0.65,0,16.093,256.9
13,2020-09-23 22:00:00,Partly Cloudy,partly-cloudy-night,0.3263,0.13,rain,17.21,18.63,17.21,1,1008.4,0.85,1.03,44,0.58,0,16.093,256.1
14,2020-09-23 23:00:00,Partly Cloudy,partly-cloudy-night,0.3073,0.14,rain,17.11,18.42,17.11,1,1008.5,0.82,1.05,42,0.51,0,16.093,255.0
15,2020-09-24 00:00:00,Partly Cloudy,partly-cloudy-night,0.2964,0.14,rain,16.95,18.2,16.95,1,1008.5,0.83,1.14,40,0.44,0,16.093,254.2
16,2020-09-24 01:00:00,Partly Cloudy,partly-cloudy-night,0.2751,0.15,rain,16.78,17.95,16.78,1,1008.3,0.9,1.32,37,0.36,0,16.093,253.9
17,2020-09-24 02:00:00,Clear,clear-night,0.266,0.16,rain,16.72,17.84,16.72,1,1008.1,0.99,1.53,34,0.27,0,16.093,253.7
18,2020-09-24 03:00:00,Clear,clear-night,0.2821,0.18,rain,16.57,17.68,16.57,1,1007.9,1.08,1.72,32,0.23,0,16.093,253.9
19,2020-09-24 04:00:00,Clear,clear-night,0.3355,0.19,rain,16.2,17.38,16.2,1,1008.0,1.16,1.91,30,0.23,0,16.093,254.6
20,2020-09-24 05:00:00,Clear,clear-night,0.4324,0.21,rain,15.74,17.04,15.74,1,1008.1,1.23,2.05,29,0.26,0,16.093,255.5
21,2020-09-24 06:00:00,Clear,clear-night,0.502,0.23,rain,15.43,16.84,15.43,1,1008.4,1.2,1.95,37,0.26,0,16.093,256.5
22,2020-09-24 07:00:00,Clear,clear-day,0.4819,0.23,rain,15.78,17.35,15.78,1,1009.0,1.03,1.46,56,0.23,0,16.093,257.5
23,2020-09-24 08:00:00,Clear,clear-day,0.4278,0.2,rain,16.4,18.17,16.4,1,1009.7,0.84,0.95,65,0.19,2,16.093,258.6
24,2020-09-24 09:00:00,Clear,clear-day,0.3962,0.18,rain,17.12,19.06,17.12,1,1010.0,0.82,0.88,30,0.17,4,16.093,258.9
25,2020-09-24 10:00:00,Clear,clear-day,0.4331,0.17,rain,18.18,20.23,18.18,1,1010.0,1.01,1.31,19,0.16,7,16.093,258.2
