,time,summary,icon,precipIntensity,precipProbability,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone,precipType
0,2020-09-07 11:00:00,Humid,clear-day,0.0,0.0,29.31,34.06,23.97,0.73,1007.5,1.46,1.89,158,0.04,10,16.093,265.8,
1,2020-09-07 12:00:00,Humid,clear-day,0.0302,0.03,30.68,36.5,24.36,0.69,1007.2,1.64,2.11,173,0.13,11,16.093,265.4,rain
2,2020-09-07 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.1611,0.07,31.23,37.8,24.78,0.69,1006.4,1.69,2.4,186,0.33,9,16.093,265.5,rain
3,2020-09-07 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.4607,0.11,31.07,38.17,25.25,0.71,1005.4,1.66,2.65,192,0.57,6,16.093,265.6,rain
4,2020-09-07 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7276,0.14,30.36,37.68,25.72,0.76,1004.8,1.59,2.61,184,0.73,4,16.02,265.3,rain
5,2020-09-07 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7802,0.14,29.39,36.48,26.11,0.83,1004.4,1.47,2.16,153,0.83,2,16.093,264.4,rain
6,2020-09-07 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.6888,0.15,28.36,34.72,26.25,0.88,1004.2,1.32,1.58,116,0.87,1,16.093,263.3,rain
7,2020-09-07 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.4896,0.15,27.5,33.08,26.21,0.93,1004.4,1.19,1.29,109,0.8,0,16.093,263.0,rain
8,2020-09-07 19:00:00,Humid and Partly Cloudy,partly-cloudy-night,0.213,0.12,26.6,30.79,25.96,0.96,1005.2,1.1,1.36,73,0.56,0,16.093,263.5,rain
9,2020-09-07 20:00:00,Humid,clear-night,0.0317,0.06,25.74,27.53,25.29,0.97,1006.2,1.07,1.59,46,0.27,0,16.093,264.4,rain
10,2020-09-07 21:00:00,Humid,clear-night,0.0014,0.02,25.09,26.11,24.59,0.97,1007.1,1.12,1.73,40,0.09,0,16.093,264.8,rain
11,2020-09-07 22:00:00,Humid,clear-night,0.0,0.0,24.71,25.74,23.98,0.96,1007.1,1.19,1.74,41,0.08,0,16.093,264.5,
12,2020-09-07 23:00:00,Humid,clear-night,0.0,0.0,24.52,25.49,23.49,0.94,1006.9,1.27,1.73,41,0.07,0,16.093,264.1,
13,2020-09-08 00:00:00,Humid,clear-night,0.0,0.0,24.35,25.27,23.14,0.93,1006.8,1.31,1.69,39,0.06,0,16.093,264.2,
14,2020-09-08 01:00:00,Humid,clear-night,0.0063,0.01,24.14,25.04,22.91,0.93,1006.7,1.26,1.65,33,0.04,0,16.093,265.2,rain
15,2020-09-08 02:00:00,Humid,clear-night,0.0137,0.03,23.91,24.79,22.68,0.93,1006.5,1.19,1.59,27,0.03,0,16.093,266.4,rain
16,2020-09-08 03:00:00,Humid,clear-night,0.0171,0.04,23.71,24.56,22.49,0.93,1006.4,1.16,1.58,26,0.02,0,16.093,267.4,rain
17,2020-09-08 04:00:00,Humid,clear-night,0.0089,0.03,23.51,24.35,22.36,0.93,1006.3,1.21,1.66,30,0.02,0,16.093,268.0,rain
18,2020-09-08 05:00:00,Humid,clear-night,0.0061,0.02,23.36,24.2,22.34,0.94,1006.3,1.27,1.73,36,0.03,0,16.093,268.4,rain
19,2020-09-08 06:00:00,Humid,clear-day,0.0105,0.02,23.51,24.37,22.48,0.94,1006.7,1.17,1.59,51,0.03,0,16.093,268.8,rain
20,2020-09-08 07:00:00,Humid,clear-day,0.0333,0.04,24.24,25.03,22.46,0.9,1007.4,0.86,1.1,74,0.03,0,16.093,269.1,rain
21,2020-09-08 08:00:00,Humid,clear-day,0.0943,0.04,25.57,26.65,22.73,0.84,1007.9,0.54,0.58,102,0.03,2,16.093,269.3,rain
22,2020-09-08 09:00:00,Humid,clear-day,0.1255,0.04,26.8,29.29,22.96,0.79,1008.3,0.5,0.59,128,0.03,5,16.093,269.2,rain
23,2020-09-08 10:00:00,Humid,clear-day,0.0758,0.04,28.02,31.35,23.1,0.75,1008.5,0.85,1.29,154,0.03,7,16.093,268.9,rain
24,2020-09-08 11:00:00,Humid,clear-day,0.0363,0.04,29.2,33.08,23.06,0.7,1008.3,1.32,2.26,176,0.04,10,16.093,268.6,rain
25,2020-09-08 12:00:00,Humid,clear-day,0.0346,0.04,30.41,34.91,23.21,0.65,1007.9,1.65,2.99,190,0.12,10,16.093,268.4,rain
26,2020-09-08 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.0388,0.04,31.58,36.75,23.47,0.62,1007.2,1.8,3.44,194,0.37,9,16.093,268.6,rain
27,2020-09-08 14:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.0587,0.04,32.22,37.92,23.75,0.61,1006.5,1.84,3.69,193,0.67,6,16.093,269.0,rain
28,2020-09-08 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.1055,0.05,32.21,38.45,24.2,0.63,1005.8,1.7,3.47,185,0.86,4,16.093,269.0,rain
29,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.208,0.08,31.51,38.45,24.97,0.68,1005.3,1.3,2.57,172,0.89,2,16.093,268.6,rain
30,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.3767,0.1,30.26,37.06,25.38,0.75,1005.1,0.84,1.45,185,0.89,1,16.093,268.0,rain
31,2020-09-08 18:00:00,Humid and Overcast,cloudy,0.5054,0.12,28.81,34.58,25.36,0.82,1005.3,0.65,0.91,204,0.89,0,16.093,267.7,rain
32,2020-09-08 19:00:00,Humid and Overcast,cloudy,0.5075,0.12,27.49,31.65,24.97,0.86,1006.0,0.87,1.18,113,0.94,0,16.093,267.5,rain
33,2020-09-08 20:00:00,Humid and Overcast,cloudy,0.4406,0.08,26.31,28.83,24.47,0.9,1007.0,1.25,1.72,32,0.98,0,16.093,267.5,rain
34,2020-09-08 21:00:00,Humid and Overcast,cloudy,0.3319,0.07,25.57,26.97,23.83,0.9,1007.6,1.5,2.03,17,1.0,0,16.093,267.6,rain
35,2020-09-08 22:00:00,Humid and Overcast,cloudy,0.1879,0.06,25.12,25.97,23.22,0.89,1007.8,1.52,1.98,13,1.0,0,16.093,268.0,rain
36,2020-09-08 23:00:00,Humid and Overcast,cloudy,0.0951,0.05,24.85,25.7,22.79,0.88,1007.8,1.48,1.85,14,1.0,0,16.093,268.4,rain
37,2020-09-09 00:00:00,Humid and Overcast,cloudy,0.0845,0.05,24.66,25.48,22.53,0.88,1007.7,1.44,1.76,19,1.0,0,16.093,268.8,rain
38,2020-09-09 01:00:00,Humid and Overcast,cloudy,0.1346,0.06,24.45,25.24,22.28,0.88,1007.6,1.42,1.77,25,1.0,0,16.093,269.0,rain
39,2020-09-09 02:00:00,Overcast,cloudy,0.2692,0.07,24.19,24.95,21.93,0.87,1007.4,1.39,1.8,34,1.0,0,16.093,269.2,rain
40,2020-09-09 03:00:00,Overcast,cloudy,0.3626,0.09,24.04,24.77,21.77,0.87,1007.4,1.36,1.78,42,1.0,0,16.093,269.1,rain
41,2020-09-09 04:00:00,Overcast,cloudy,0.3098,0.09,23.8,24.54,21.7,0.88,1007.5,1.32,1.66,45,1.0,0,16.093,268.6,rain
42,2020-09-09 05:00:00,Overcast,cloudy,0.2472,0.08,23.57,24.32,21.72,0.89,1007.8,1.3,1.55,50,1.0,0,16.093,268.0,rain
43,2020-09-09 06:00:00,Overcast,cloudy,0.217,0.07,23.56,24.31,21.76,0.9,1008.1,1.27,1.65,62,1.0,0,16.093,267.6,rain
44,2020-09-09 07:00:00,Overcast,cloudy,0.1823,0.06,24.23,24.94,21.86,0.87,1008.5,1.24,2.07,84,0.96,0,16.093,267.4,rain
45,2020-09-09 08:00:00,Overcast,cloudy,0.1726,0.06,25.44,26.4,22.11,0.82,1008.9,1.2,2.56,107,0.92,2,9.396,267.4,rain
46,2020-09-09 09:00:00,Humid and Overcast,cloudy,0.1988,0.06,26.72,28.98,22.5,0.78,1009.1,1.21,2.69,125,0.89,3,7.315,267.1,rain
47,2020-09-09 10:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2353,0.06,28.09,31.4,23.01,0.74,1008.8,1.31,2.29,141,0.85,5,12.934,266.4,rain
48,2020-09-09 11:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.2748,0.06,29.5,33.8,23.38,0.7,1008.3,1.46,1.77,155,0.81,6,16.093,265.6,rain
