,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-23 09:00:00,Possible Light Rain and Humid,rain,0.2958,0.32,rain,22.33,23.6,22.33,1.0,1005.6,1.4,2.52,59,0.96,3,16.093,256.7
1,2020-09-23 10:00:00,Possible Light Rain and Humid,rain,0.334,0.4,rain,22.3,23.71,22.3,1.0,1005.9,1.44,2.14,62,0.96,4,15.531,255.4
2,2020-09-23 11:00:00,Possible Light Rain and Humid,rain,0.4038,0.51,rain,22.4,23.99,22.4,1.0,1006.0,1.52,1.97,66,0.97,5,13.318,254.1
3,2020-09-23 12:00:00,Possible Light Rain and Humid,rain,0.5128,0.54,rain,22.42,24.11,22.42,1.0,1005.8,1.62,2.07,67,0.98,5,12.879,253.7
4,2020-09-23 13:00:00,Possible Light Rain and Humid,rain,0.6766,0.57,rain,22.52,24.25,22.52,1.0,1005.3,1.75,2.55,63,0.99,5,14.856,254.8
5,2020-09-23 14:00:00,Possible Light Rain and Humid,rain,0.8615,0.64,rain,22.65,24.36,22.65,1.0,1004.6,1.89,3.17,58,1.0,4,16.093,256.3
6,2020-09-23 15:00:00,Rain and Humid,rain,0.9067,0.63,rain,22.7,24.37,22.7,1.0,1004.1,1.97,3.39,54,1.0,3,16.093,257.0
7,2020-09-23 16:00:00,Possible Light Rain and Humid,rain,0.7906,0.59,rain,22.88,24.51,22.88,1.0,1003.9,1.97,3.03,51,1.0,2,16.093,256.5
8,2020-09-23 17:00:00,Possible Light Rain and Humid,rain,0.7737,0.56,rain,22.94,24.49,22.94,1.0,1003.9,1.92,2.5,47,1.0,0,16.093,255.5
9,2020-09-23 18:00:00,Possible Light Rain and Humid,rain,0.8107,0.52,rain,22.52,23.9,22.52,1.0,1004.1,1.91,2.17,45,1.0,0,16.093,255.0
10,2020-09-23 19:00:00,Possible Light Rain and Humid,rain,0.688,0.45,rain,22.34,23.55,22.34,1.0,1004.6,1.96,2.04,46,1.0,0,16.093,255.1
11,2020-09-23 20:00:00,Possible Light Rain,rain,0.5348,0.37,rain,22.09,23.15,22.09,1.0,1005.3,2.02,2.1,49,1.0,0,16.093,255.3
12,2020-09-23 21:00:00,Possible Light Rain,rain,0.5029,0.36,rain,21.87,22.82,21.87,1.0,1005.8,2.08,2.17,50,1.0,0,15.741,255.3
13,2020-09-23 22:00:00,Possible Light Rain,rain,0.5915,0.39,rain,21.74,22.61,21.74,1.0,1006.0,2.12,2.59,49,1.0,0,16.093,254.7
14,2020-09-23 23:00:00,Possible Light Rain,rain,0.7277,0.38,rain,21.64,22.46,21.56,1.0,1006.1,2.15,3.49,46,0.99,0,16.093,254.1
15,2020-09-24 00:00:00,Possible Light Rain,rain,0.8014,0.37,rain,21.54,22.32,21.3,0.99,1006.0,2.13,3.74,45,0.99,0,16.093,254.0
16,2020-09-24 01:00:00,Possible Light Rain,rain,0.7629,0.37,rain,21.42,22.18,21.15,0.98,1005.6,2.03,3.09,40,0.99,0,16.093,254.5
17,2020-09-24 02:00:00,Possible Light Rain,rain,0.6836,0.4,rain,21.32,22.09,21.12,0.99,1005.2,1.91,2.21,36,1.0,0,16.093,255.3
18,2020-09-24 03:00:00,Possible Light Rain,rain,0.6103,0.42,rain,21.29,22.07,21.19,0.99,1004.9,1.86,1.89,37,1.0,0,16.093,255.9
19,2020-09-24 04:00:00,Possible Light Rain,rain,0.5885,0.42,rain,21.32,22.15,21.32,1.0,1004.8,1.91,2.07,48,1.0,0,16.093,256.3
20,2020-09-24 05:00:00,Possible Light Rain,rain,0.7227,0.46,rain,21.29,22.21,21.29,1.0,1004.9,1.98,2.57,60,1.0,0,11.521,256.6
21,2020-09-24 06:00:00,Rain,rain,1.0494,0.52,rain,21.08,22.11,21.08,1.0,1005.2,2.0,2.75,64,1.0,0,7.617,256.9
22,2020-09-24 07:00:00,Rain,rain,1.6359,0.59,rain,20.98,22.12,20.98,1.0,1005.9,1.93,2.47,56,1.0,0,6.155,257.2
23,2020-09-24 08:00:00,Rain,rain,2.3727,0.61,rain,21.15,22.43,21.15,1.0,1006.8,1.84,2.08,46,1.0,1,6.167,257.4
24,2020-09-24 09:00:00,Rain,rain,2.6477,0.62,rain,21.45,22.84,21.45,1.0,1007.4,1.76,1.92,38,1.0,3,8.384,257.3
25,2020-09-24 10:00:00,Rain,rain,2.0938,0.61,rain,22.04,23.52,22.04,1.0,1007.6,1.74,1.98,37,1.0,4,14.164,256.7
26,2020-09-24 11:00:00,Rain and Humid,rain,1.3897,0.58,rain,22.97,24.5,22.97,1.0,1007.6,1.71,2.24,37,1.0,5,16.093,256.0
27,2020-09-24 12:00:00,Rain and Humid,rain,1.0793,0.56,rain,23.56,25.13,23.56,1.0,1007.4,1.58,2.22,40,1.0,5,16.093,255.4
28,2020-09-24 13:00:00,Rain and Humid,rain,1.1432,0.58,rain,23.88,25.5,23.88,1.0,1006.8,1.3,1.77,48,1.0,5,14.592,254.9
29,2020-09-24 14:00:00,Rain and Humid,rain,1.3585,0.61,rain,23.87,25.56,23.87,1.0,1006.1,0.99,1.25,57,1.0,4,5.638,254.4
30,2020-09-24 15:00:00,Rain and Humid,rain,1.5587,0.61,rain,23.73,25.44,23.73,1.0,1005.6,0.8,1.06,58,1.0,3,2.962,254.3
31,2020-09-24 16:00:00,Rain and Humid,rain,1.7444,0.6,rain,23.71,25.42,23.71,1.0,1005.3,0.78,1.18,44,1.0,2,9.369,254.6
32,2020-09-24 17:00:00,Rain and Humid,rain,1.8504,0.6,rain,23.71,25.35,23.71,1.0,1005.1,0.84,1.56,26,1.0,0,16.093,255.0
33,2020-09-24 18:00:00,Rain and Humid,rain,1.5404,0.55,rain,23.23,24.72,23.23,1.0,1005.3,0.95,1.84,15,1.0,0,16.093,255.4
34,2020-09-24 19:00:00,Possible Light Rain and Humid,rain,0.7637,0.42,rain,23.11,24.42,23.11,1.0,1005.8,1.07,1.99,15,1.0,0,16.093,255.4
35,2020-09-24 20:00:00,Humid and Overcast,cloudy,0.2027,0.23,rain,22.92,24.07,22.92,1.0,1006.4,1.2,2.1,17,1.0,0,16.093,255.5
36,2020-09-24 21:00:00,Humid and Overcast,cloudy,0.0866,0.12,rain,22.79,23.83,22.79,1.0,1006.8,1.24,2.08,21,1.0,0,16.093,255.5
37,2020-09-24 22:00:00,Humid and Overcast,cloudy,0.1306,0.14,rain,22.7,23.67,22.7,1.0,1006.9,1.13,1.86,29,1.0,0,16.093,255.5
38,2020-09-24 23:00:00,Humid and Overcast,cloudy,0.2563,0.2,rain,22.61,23.54,22.6,1.0,1006.9,0.99,1.6,38,1.0,0,16.093,255.6
39,2020-09-25 00:00:00,Humid and Overcast,cloudy,0.3733,0.23,rain,22.49,23.38,22.32,0.99,1006.5,0.99,1.61,34,1.0,0,16.093,255.8
40,2020-09-25 01:00:00,Possible Light Rain,rain,0.3911,0.25,rain,22.32,23.19,22.15,0.99,1005.9,1.2,2.01,15,1.0,0,16.093,256.3
41,2020-09-25 02:00:00,Possible Light Rain,rain,0.3884,0.26,rain,22.17,23.04,22.09,1.0,1005.0,1.45,2.51,352,1.0,0,16.093,257.0
42,2020-09-25 03:00:00,Overcast,cloudy,0.3598,0.25,rain,22.03,22.91,22.03,1.0,1004.4,1.53,2.67,339,1.0,0,16.093,257.7
43,2020-09-25 04:00:00,Overcast,cloudy,0.286,0.22,rain,21.98,22.88,21.98,1.0,1004.0,1.36,2.37,342,1.0,0,16.093,258.4
44,2020-09-25 05:00:00,Overcast,cloudy,0.2066,0.18,rain,21.96,22.92,21.96,1.0,1003.7,1.09,1.91,353,1.0,0,16.093,259.1
45,2020-09-25 06:00:00,Overcast,cloudy,0.1502,0.14,rain,21.95,22.96,21.95,1.0,1003.8,0.89,1.54,16,1.0,0,16.093,259.6
46,2020-09-25 07:00:00,Overcast,cloudy,0.1002,0.11,rain,22.22,23.29,22.22,1.0,1004.3,0.78,1.32,60,0.99,0,16.093,260.3
47,2020-09-25 08:00:00,Humid and Overcast,cloudy,0.0591,0.07,rain,22.96,24.12,22.96,1.0,1005.0,0.71,1.15,193,0.99,1,16.093,260.9
48,2020-09-25 09:00:00,Humid and Overcast,cloudy,0.036,0.05,rain,23.78,24.94,23.78,1.0,1005.4,0.77,1.1,243,0.99,3,16.093,261.1
