,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-07 11:00:00,Clear,clear-day,0.0955,0.04,rain,26.48,28.3,21.75,0.75,1008.3,1.29,1.43,170,0.05,10,16.093,264.3
1,2020-09-07 12:00:00,Humid,clear-day,0.192,0.05,rain,27.67,30.38,22.34,0.73,1007.8,1.45,1.64,190,0.15,11,16.093,264.0
2,2020-09-07 13:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.3579,0.06,rain,27.88,30.99,22.88,0.74,1007.0,1.51,1.83,199,0.32,9,16.093,264.0
3,2020-09-07 14:00:00,Humid and Partly Cloudy,partly-cloudy-day,0.583,0.09,rain,27.23,30.29,23.54,0.8,1006.0,1.52,1.98,201,0.51,7,16.093,264.1
4,2020-09-07 15:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7441,0.1,rain,26.32,28.72,24.17,0.88,1005.4,1.47,1.98,201,0.65,5,16.093,263.8
5,2020-09-07 16:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7728,0.11,rain,25.56,27.05,24.66,0.95,1005.1,1.36,1.73,201,0.74,2,16.093,262.8
6,2020-09-07 17:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.7037,0.12,rain,25.03,26.1,24.65,0.98,1004.9,1.2,1.41,200,0.79,1,16.093,261.8
7,2020-09-07 18:00:00,Humid and Mostly Cloudy,partly-cloudy-day,0.5476,0.12,rain,24.23,25.34,24.23,1.0,1005.2,1.03,1.21,189,0.79,0,16.093,261.5
8,2020-09-07 19:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.3117,0.08,rain,23.45,24.58,23.45,1.0,1006.0,0.83,1.18,158,0.72,0,16.093,262.1
9,2020-09-07 20:00:00,Humid and Mostly Cloudy,partly-cloudy-night,0.1207,0.06,rain,22.6,23.71,22.6,1.0,1007.2,0.67,1.23,132,0.62,0,16.093,263.0
10,2020-09-07 21:00:00,Partly Cloudy,partly-cloudy-night,0.0443,0.04,rain,21.91,22.95,21.91,1.0,1008.3,0.64,1.27,301,0.54,0,16.093,263.5
11,2020-09-07 22:00:00,Partly Cloudy,partly-cloudy-night,0.0226,0.03,rain,21.44,22.35,21.44,1.0,1008.5,0.74,1.31,66,0.48,0,16.093,263.3
12,2020-09-07 23:00:00,Partly Cloudy,partly-cloudy-night,0.014,0.03,rain,21.1,21.89,21.1,1.0,1008.5,0.91,1.35,40,0.42,0,16.093,263.0
13,2020-09-08 00:00:00,Partly Cloudy,partly-cloudy-night,0.01,0.03,rain,20.82,21.53,20.57,0.98,1008.4,1.04,1.39,24,0.34,0,16.093,262.9
14,2020-09-08 01:00:00,Clear,clear-night,0.0073,0.02,rain,20.5,21.11,19.8,0.96,1008.1,1.1,1.45,17,0.24,0,16.093,263.4
15,2020-09-08 02:00:00,Clear,clear-night,0.0072,0.02,rain,20.32,20.82,19.07,0.93,1007.7,1.14,1.5,17,0.15,0,16.093,264.1
16,2020-09-08 03:00:00,Clear,clear-night,0.0085,0.02,rain,20.31,20.77,18.78,0.91,1007.6,1.17,1.54,17,0.11,0,16.093,264.8
17,2020-09-08 04:00:00,Clear,clear-night,0.0117,0.03,rain,20.07,20.5,18.52,0.91,1007.7,1.21,1.58,15,0.14,0,16.093,265.7
18,2020-09-08 05:00:00,Clear,clear-night,0.0205,0.03,rain,19.79,20.2,18.26,0.91,1007.9,1.22,1.59,15,0.21,0,16.093,266.6
19,2020-09-08 06:00:00,Clear,clear-day,0.0307,0.04,rain,19.71,20.1,18.07,0.9,1008.1,1.14,1.48,22,0.29,0,16.093,267.2
20,2020-09-08 07:00:00,Partly Cloudy,partly-cloudy-day,0.0353,0.04,rain,20.59,20.95,18.18,0.86,1008.7,0.9,1.18,33,0.39,0,16.093,267.1
21,2020-09-08 08:00:00,Partly Cloudy,partly-cloudy-day,0.043,0.03,rain,22.2,22.58,18.72,0.81,1009.3,0.65,0.85,41,0.5,2,16.093,266.8
22,2020-09-08 09:00:00,Partly Cloudy,partly-cloudy-day,0.057,0.03,rain,23.81,24.21,19.3,0.76,1009.6,0.57,0.78,52,0.56,4,16.093,266.7
23,2020-09-08 10:00:00,Partly Cloudy,partly-cloudy-day,0.0702,0.03,rain,25.34,25.98,19.79,0.71,1009.4,0.69,1.08,120,0.53,6,16.093,266.8
24,2020-09-08 11:00:00,Partly Cloudy,partly-cloudy-day,0.0898,0.03,rain,27.0,28.61,20.24,0.67,1009.0,0.9,1.52,166,0.48,8,16.093,267.0
25,2020-09-08 12:00:00,Partly Cloudy,partly-cloudy-day,0.1339,0.03,rain,28.4,30.42,20.62,0.63,1008.5,1.06,1.87,193,0.5,8,16.093,267.0
26,2020-09-08 13:00:00,Mostly Cloudy,partly-cloudy-day,0.2231,0.04,rain,28.95,31.36,21.12,0.63,1007.8,1.16,2.11,201,0.63,7,15.664,267.0
27,2020-09-08 14:00:00,Mostly Cloudy,partly-cloudy-day,0.3496,0.05,rain,28.69,31.43,21.75,0.66,1006.9,1.23,2.26,200,0.79,6,11.469,266.9
28,2020-09-08 15:00:00,Overcast,cloudy,0.4639,0.07,rain,27.81,30.49,22.21,0.72,1006.4,1.23,2.2,199,0.89,4,10.289,266.8
29,2020-09-08 16:00:00,Humid and Overcast,cloudy,0.5448,0.07,rain,26.92,29.36,22.68,0.78,1006.0,1.13,1.83,206,0.92,2,13.39,266.6
30,2020-09-08 17:00:00,Humid and Overcast,cloudy,0.591,0.08,rain,26.08,27.88,23.03,0.83,1005.9,0.99,1.36,217,0.93,1,16.093,266.4
