,time,summary,icon,precipIntensity,precipProbability,precipType,temperature,apparentTemperature,dewPoint,humidity,pressure,windSpeed,windGust,windBearing,cloudCover,uvIndex,visibility,ozone
0,2020-09-24 13:00:00,Rain and Humid,rain,2.4628,0.63,rain,22.74,24.11,22.74,1.0,1006.2,2.24,3.3,46,1.0,5,8.053,250.8
1,2020-09-24 14:00:00,Rain and Humid,rain,1.5718,0.64,rain,22.71,24.08,22.71,1.0,1005.5,2.22,3.43,45,1.0,5,11.672,251.0
2,2020-09-24 15:00:00,Rain and Humid,rain,1.186,0.64,rain,22.56,23.94,22.56,1.0,1005.0,2.11,3.31,45,1.0,3,13.205,251.2
3,2020-09-24 16:00:00,Rain and Humid,rain,1.3622,0.62,rain,22.62,24.02,22.62,1.0,1004.7,1.86,2.87,44,1.0,2,11.59,251.5
4,2020-09-24 17:00:00,Rain and Humid,rain,1.8743,0.59,rain,22.47,23.82,22.47,1.0,1004.6,1.57,2.31,42,1.0,0,9.172,251.8
5,2020-09-24 18:00:00,Rain,rain,2.1679,0.52,rain,22.19,23.43,22.19,1.0,1004.7,1.36,1.93,38,1.0,0,8.661,251.9
6,2020-09-24 19:00:00,Rain,rain,1.9537,0.43,rain,22.15,23.27,22.15,1.0,1005.0,1.27,1.81,33,1.0,0,10.793,251.4
7,2020-09-24 20:00:00,Rain,rain,1.5504,0.37,rain,21.92,22.92,21.92,1.0,1005.5,1.22,1.77,26,1.0,0,13.942,250.9
8,2020-09-24 21:00:00,Rain,rain,1.0997,0.33,rain,21.73,22.63,21.73,1.0,1005.9,1.17,1.7,21,1.0,0,16.093,250.9
9,2020-09-24 22:00:00,Possible Light Rain,rain,0.6195,0.26,rain,21.64,22.43,21.38,0.98,1006.0,1.11,1.53,19,1.0,0,16.093,251.3
10,2020-09-24 23:00:00,Overcast,cloudy,0.2465,0.16,rain,21.56,22.26,20.8,0.95,1006.0,1.06,1.35,18,1.0,0,16.093,252.0
11,2020-09-25 00:00:00,Overcast,cloudy,0.0822,0.1,rain,21.42,22.08,20.46,0.94,1005.7,1.06,1.24,16,1.0,0,16.093,252.9
12,2020-09-25 01:00:00,Overcast,cloudy,0.0713,0.11,rain,21.16,21.82,20.37,0.95,1005.2,1.13,1.25,13,1.0,0,16.093,254.1
13,2020-09-25 02:00:00,Overcast,cloudy,0.1693,0.17,rain,20.94,21.61,20.38,0.97,1004.6,1.23,1.31,9,1.0,0,16.093,255.2
14,2020-09-25 03:00:00,Overcast,cloudy,0.2593,0.18,rain,20.8,21.49,20.46,0.98,1004.2,1.28,1.36,7,1.0,0,16.093,255.9
15,2020-09-25 04:00:00,Overcast,cloudy,0.2469,0.18,rain,20.6,21.32,20.57,1.0,1003.9,1.25,1.33,3,1.0,0,16.093,256.0
